appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
3959900,BE LOST,BE LOST,1327,790,537,537,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3516660,WORK WORK WORK,WORK WORK WORK,1389,888,501,501,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3501540,Spiritstead,Spiritstead,1062,626,436,436,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3832380,Bao Bao's™ Cozy Cleaning Services,Bao Bao's™ Cozy Cleaning Services,1250,818,432,432,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4059000,Cozy Builder,Cozy Builder,1426,1008,418,418,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
1917470,Into The Haunted Land,Into The Haunted Land,1482,1065,417,417,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
3713880,Lost Arsenal,Lost Arsenal,1045,647,398,398,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4310080,Oxygen Not Included: The Aquatic Planet Pack,Oxygen Not Included: The Aquatic Planet Pack,630,242,388,388,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 11, 2026","Jun 11, 2026",False
4492610,Their Story.,Their Story.,1314,933,381,381,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3818770,SuperWEIRD: Automation Roguelite,SuperWEIRD: Automation Roguelite,1485,1104,381,381,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4260530,Rina's Undercover Train Operation,Rina's Undercover Train Operation,1083,722,361,361,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 12, 2026","Jun 12, 2026",False
4073860,Sludgineers,Sludgineers,1372,1012,360,360,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4211060,Meaningless Random Numbers,Meaningless Random Numbers,1051,695,356,356,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3333380,Dungeon Hotpot,Dungeon Hotpot,966,618,348,348,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
