appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
1601320,Leshy,Leshy,2906,2936,-30,30,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
1158600,Sayri: The Beginning,Sayri: The Beginning,2915,2944,-29,29,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
2960390,Nutty Dungeons,Nutty Dungeons,2930,2959,-29,29,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
717930,DEADHUNTERS,DEADHUNTERS,2931,2960,-29,29,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2617870,PSYCHOFINGER,PSYCHOFINGER,2947,2975,-28,28,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4157430,Diggin,Diggin,2933,2961,-28,28,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
3873720,Unboxing Mr. Coo,Unboxing Mr. Coo,2924,2952,-28,28,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2783830,Cozy Crest,Cozy Crest,2914,2942,-28,28,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2337990,Kohlrabi Starship,Kohlrabi Starship,2923,2951,-28,28,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2098920,Inter Solar 83,Inter Solar 83,2911,2939,-28,28,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
2853830,Folder Dungeon,Folder Dungeon,2893,2921,-28,28,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
2079210,It's Always Happy at Chubby's,It's Always Happy at Chubby's,2852,2880,-28,28,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2351990,Anseion - Fantasy MMORPG,Anseion - Fantasy MMORPG,2913,2941,-28,28,down,downward_spike,Free,Free,False,2026,2026,False
3226060,DreamEcho,DreamEcho,2928,2955,-27,27,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
1737960,(Old steam page),(Old steam page),2919,2946,-27,27,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
1778860,Drug Dealer Manager,Drug Dealer Manager,2920,2947,-27,27,down,downward_spike,Free,Free,False,Coming soon,Coming soon,False
1521250,Offroad Delivery Service,Offroad Delivery Service,2926,2953,-27,27,down,downward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
