appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
4829700,Monster Hunter Wilds: Ascendance,Monster Hunter Wilds: Ascendance,1629,1351,278,278,up,upward_spike,Free,Free,False,2027,2027,False
4117730,Slayblade,Slayblade,2048,1845,203,203,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3681610,DRAGON QUEST MONSTERS: The Withered World,DRAGON QUEST MONSTERS: The Withered World,2470,2277,193,193,up,upward_spike,$59.99,$59.99,False,"Dec 3, 2026","Dec 3, 2026",False
4163030,Cat Chess,Cat Chess,2067,1885,182,182,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 22, 2026","Jul 22, 2026",False
4267870,Washington Prime,Washington Prime,2610,2469,141,141,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2676350,Pikuniku 2,Pikuniku 2,2010,1870,140,140,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3470960,Tales of Eternia Remastered,Tales of Eternia Remastered,2228,2091,137,137,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Oct 15, 2026","Oct 15, 2026",False
4532500,Atelier Karia: The Night Kingdom & the Guide of Memories,Atelier Karia: The Night Kingdom & the Guide of Memories,2419,2282,137,137,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4004820,FreeStyle Football 2,FreeStyle Football 2,2567,2472,95,95,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
4753290,JUJUTSU KAISEN RUMBLE: SURVIVATON,JUJUTSU KAISEN RUMBLE: SURVIVATON,1817,1724,93,93,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4039900,ZOMBUTCHER: Monster Business Simulator,ZOMBUTCHER: Monster Business Simulator,2104,2020,84,84,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 11, 2026","Jun 11, 2026",False
4771290,"Hands Up, G!","Hands Up, G!",2216,2132,84,84,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4450620,GRAIN ROT,GRAIN ROT,1249,1168,81,81,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3265840,BioEden,BioEden,2856,2782,74,74,up,upward_spike,$19.99,$19.99,False,"Sep 3, 2026","Sep 3, 2026",False
4310080,Oxygen Not Included: The Aquatic Planet Pack,Oxygen Not Included: The Aquatic Planet Pack,1485,1412,73,73,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 11, 2026","Jun 11, 2026",False
3971650,Lazy Witch's Factory,Lazy Witch's Factory,2414,2341,73,73,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q3 2026,False
3247960,Bergfried,Bergfried,1110,1040,70,70,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4761940,Smalland 2: Lost Realms,Smalland 2: Lost Realms,2863,2793,70,70,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4507990,Wo Long 2: Wings of Ember,Wo Long 2: Wings of Ember,1944,1876,68,68,up,upward_spike,Free,Free,False,Q1 2027,Q1 2027,False
3688240,Pipes.exe,Pipes.exe,2004,1936,68,68,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4218620,Double Dealers,Double Dealers,1808,1748,60,60,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4260530,Rina's Undercover Train Operation,Rina's Undercover Train Operation,1239,1180,59,59,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 12, 2026","Jun 12, 2026",False
4218360,Wall World Strategy,Wall World Strategy,1744,1688,56,56,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3905010,ONE PIECE: Grand Gourmet,ONE PIECE: Grand Gourmet,1657,1602,55,55,up,upward_spike,$19.99,$19.99,False,"Oct 22, 2026","Oct 22, 2026",False
4659620,Touhou Koumakyou: New Classic - the Embodiment of Scarlet Devil,Touhou Koumakyou: New Classic - the Embodiment of Scarlet Devil,778,724,54,54,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Sep 9, 2026","Sep 9, 2026",False
4644870,Green Mist over Portland,Green Mist over Portland,2945,2891,54,54,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
4656000,BOMBANANA!,BOMBANANA!,1104,1051,53,53,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4463520,Moomin: Midsummer Madness,Moomin: Midsummer Madness,2734,2685,49,49,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4336170,Age of Empires IV: Raiders of the North,Age of Empires IV: Raiders of the North,1800,1754,46,46,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q4 2026,Q4 2026,False
4564640,SATED,SATED,2523,2478,45,45,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3428570,Teller's Duty,Teller's Duty,1131,1087,44,44,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 12, 2026","Jun 12, 2026",False
2879790,Son of Thanjai,Son of Thanjai,2844,2801,43,43,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4253770,Muramasa: Revenant Blades,Muramasa: Revenant Blades,682,643,39,39,up,upward_spike,Free,Free,False,2027,2027,False
3237520,The Alters: Last Variable,The Alters: Last Variable,2527,2489,38,38,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 13, 2026","Jul 13, 2026",False
3072120,Backrooms Lost Runners,Backrooms Lost Runners,1026,989,37,37,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 17, 2026","Jun 17, 2026",False
3979330,nophenia,nophenia,1415,1378,37,37,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 25, 2026","Jun 25, 2026",False
4200110,Nekome: Nazi Hunter,Nekome: Nazi Hunter,1669,1632,37,37,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3930510,Don't Let It Starve,Don't Let It Starve,1801,1764,37,37,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 12, 2026","Jun 12, 2026",False
4353630,Summer Sisters,Summer Sisters,2199,2162,37,37,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 19, 2026","Jun 19, 2026",False
4414110,WATERFUL: a tiny oasis builder,WATERFUL: a tiny oasis builder,2889,2852,37,37,up,upward_spike,Free,Free,False,2027,2027,False
4032350,EA SPORTS™ College Football 27,EA SPORTS™ College Football 27,2214,2178,36,36,up,upward_spike,$69.99,$69.99,False,"Jul 9, 2026","Jul 9, 2026",False
4542740,Dinghai: The Ocean Pillar,Dinghai: The Ocean Pillar,2572,2536,36,36,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3703630,The Talos Principle 3,The Talos Principle 3,1427,1391,36,36,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
1837730,Loot List: Thief Sim,Loot List: Thief Sim,1765,1729,36,36,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
3259780,FINAL FANTASY RESONANCE,FINAL FANTASY RESONANCE,478,443,35,35,up,upward_spike,$49.99,$49.99,False,"Oct 22, 2026","Oct 22, 2026",False
2409660,Wardens of Avalon,Wardens of Avalon,1508,1473,35,35,up,upward_spike,Free,Free,False,2027,2027,False
3040020,N PLUS INFINITY TIMES TWO,N PLUS INFINITY TIMES TWO,2656,2621,35,35,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
2843060,Into the Wind,Into the Wind,1320,1286,34,34,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4498320,The Wandering Village: The Last Leviathan,The Wandering Village: The Last Leviathan,2345,2311,34,34,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
4712630,In The Drift,In The Drift,2733,2699,34,34,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3986670,YOU ARE THE MONSTER,YOU ARE THE MONSTER,976,943,33,33,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 18, 2026","Jun 18, 2026",False
4414620,Book Nook,Book Nook,1675,1642,33,33,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4467980,theHunter: Call of the Wild™ - Peru Hunting Reserve,theHunter: Call of the Wild™ - Peru Hunting Reserve,2223,2190,33,33,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 16, 2026","Jun 16, 2026",False
2876290,Sojourn Past,Sojourn Past,2931,2899,32,32,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4308420,Arizona Sunshine®,Arizona Sunshine®,1886,1854,32,32,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
1285050,Noah's Ark,Noah's Ark,2581,2550,31,31,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3469910,Star Trek: Outposts Unknown,Star Trek: Outposts Unknown,1513,1482,31,31,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
4160880,Ember Seeker,Ember Seeker,2201,2170,31,31,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 15, 2026","Jun 15, 2026",False
3160570,Runeomicon,Runeomicon,2754,2724,30,30,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,2026,False
3975750,The Gate Must Stand,The Gate Must Stand,2942,2912,30,30,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 17, 2026","Jun 17, 2026",False
2211630,Duskers 2.0,Duskers 2.0,2538,2508,30,30,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
2742710,Cozy Cleaner,Cozy Cleaner,1352,1323,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 22, 2026","Jun 22, 2026",False
3551190,The Last Salvage Squad,The Last Salvage Squad,1455,1426,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 17, 2026","Jun 17, 2026",False
4363380,Wicked Delights,Wicked Delights,2362,2333,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3933180,Torii: Beyond The Gates,Torii: Beyond The Gates,2439,2410,29,29,up,upward_spike,Free,Free,False,Coming soon,Coming soon,False
4784080,"Oh, My Doug!","Oh, My Doug!",2595,2566,29,29,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
3469450,DOOM: The Dark Ages | Revelations,DOOM: The Dark Ages | Revelations,994,966,28,28,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jul 7, 2026","Jul 7, 2026",False
3106050,Dark Queen of Samobor,Dark Queen of Samobor,2338,2310,28,28,up,upward_spike,Free,Free,False,Q1 2027,Q1 2027,False
4323990,EMPULSE,EMPULSE,696,668,28,28,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 24, 2026","Jun 24, 2026",False
2695710,God For A Day,God For A Day,2080,2052,28,28,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,"Jun 16, 2026","Jun 16, 2026",False
3327430,Carcass Clad,Carcass Clad,759,733,26,26,up,upward_spike,Unpriced (Coming Soon),Unpriced (Coming Soon),False,To be announced,To be announced,False
