appid,title_old,rank_old
3072120,Backrooms Lost Runners,535
1944040,goblinAmerica,792
3555120,Pre-Fortress 2,2644
4458440,Pelican Post,2645
4299520,Those Who Rule 2,2646
3037040,Board Game Society,2647
1143910,DeathTower,2648
1238390,This Dead Winter,2649
2052710,Hello Again,2650
3804930,Burger Shift: Team Rush,2651
2139090,Project ETHOS,2652
3756370,Räfven,2653
3610210,Klostyn,2654
1226580,Fashion Designer,2655
4006130,Under The Rooftop,2656
2799050,Mourning Tide,2657
3160570,Runeomicon,2658
1638030,Generation Ship,2661
3330890,Shiver,2662
4124920,Some of You May Die,2663
4314170,Jibbers,2664
2718100,Legends of Awen: Rise of The Fianna,2665
2372240,Re:Night,2666
4125860,Eternity Breaker,2667
2325860,Road 66,2668
3273960,The Dark Crown: Genesis,2669
3866230,Way of Madness,2670
2850910,Prisma,2672
4044990,DEG,2673
3296990,Fearwoods,2674
945860,HopeLand,2675
2894990,Trizna,2676
2664120,Lonely Space,2677
3561600,Fortress Connected,2678
4285110,Tunnel Escape Fates Entwined,2679
2365920,Scarlet Record,2681
2939170,Galactic Disharmony,2682
3387240,My Fairy Princess,2683
3417140,IGS Classic Arcade Collection,2684
284080,Lost Squad,2685
3564990,Vale's Echo,2686
4098960,Home Paige,2687
2669780,Spill the Beans,2688
3399610,Tokatonton: One-Armed Blacksmith,2689
4576910,Dark Deity 3,2690
2852750,The Games You Make,2691
4198840,GlagStone,2692
1545510,Camping Builder,2693
1103610,Sailor Simulator,2694
1678040,Njorun's Will,2695
3212260,[Nightmare Files] Stoned,2696
2872600,Colonies of The Remnant,2698
2760720,Bestiario,2699
3963050,Eyes Of The ElderWood,2700
2794160,Beyond The Board,2701
3544430,SOULGRAVE,2702
3522360,WARSHIFT 2,2703
4603230,HEADCUTTER,2704
2923500,ELEMASTA -エレマスタ-,2705
2466000,Superstore Simulator,2706
1327090,Solar System Colonist,2707
4425140,"Welcome, Dear Human",2708
1975790,VergeWorld,2709
2840000,Lumina Veil,2710
4423030,Brush Burial: Bruiseland,2711
2069890,1-900-CULT,2712
1036430,Neverdark,2714
2366250,American Airport Simulator,2715
1104800,Radiance,2716
2536140,Red Dust Colony,2717
3062060,Drive Thru Simulator,2718
2640750,NightFall Shade,2719
526720,OFF GRID : Stealth Hacking,2720
4198610,A Fighter’s Nova: Mindara,2721
2712460,DUNGEON SLASHER,2722
2736370,Helix: Descent N Ascent,2723
3278290,Feed The Pit,2724
2870130,ENDS,2725
3226830,Canvas City,2727
3234820,Zitifono,2728
3420280,Idle Research 2,2729
3901760,Crystal Project 2,2730
2502870,Kanun 1919,2731
3942390,Falcon Fall™,2732
3910330,Mayak,2733
4624180,Animation VERSUS,2734
3149550,Comix Zero,2735
3489490,SourceWorld,2736
3517880,Clawsome,2737
3146670,Torchless,2738
1271440,HP Reverb G2,2739
2054000,Presentable Liberty Remake,2740
2597610,Mononoke No Kuni,2741
4360760,Gemini X,2742
2541560,ARCHETYPE BLUE,2743
3360150,Morning Star,2744
2603850,Shadow mate ~小さな竜と適合者~,2745
3369020,Death & Faeology,2746
3327000,Roguebound Pirates,2747
3307340,Cast Outs,2748
4319800,Final Orbit,2749
3291450,The Vow: Vampire's Curse,2750
2514890,Reverb,2751
3323490,Truxton Extreme,2752
2752090,SCP New Management,2753
2669450,My Child New Beginnings,2754
4012490,MONOPHOBIA,2755
1827440,Sailors: Age of Corsairs,2756
924380,WoodZone,2757
2704450,Stoneguard,2758
2836990,Drunken Rogue,2759
2882410,Vanlife Camping Simulator,2760
2978690,Poolrooms,2761
1547010,NEET,2762
2431080,Blood Dungeon,2763
3401570,Abyss Ring,2764
3129420,ASPIS,2765
850870,Hard-Life,2766
2483700,HARMA,2767
640010,Forsaken Castle,2768
1120220,Soyuz Constructors,2769
3441490,Zeizen,2770
2899350,House Of Decay,2771
2841600,The Vigilante Diaries,2772
801140,Unitystation,2773
1993980,Astortion,2774
