appid,title_new,rank_new,price_text_new,release_text_new
4429930,Water You Doing?,1061,Unpriced (Coming Soon),"Aug 26, 2026"
5072700,Rerouted,1089,Free,Coming soon
3491690,lovebyte.exe,1098,Unpriced (Coming Soon),"Aug 24, 2026"
4075620,Combolands: Roguelike Citybuilder,1101,Unpriced (Coming Soon),"Aug 24, 2026"
3012300,Carbon,1105,Unpriced (Coming Soon),To be announced
1963190,The Backrooms World,1106,Free,To be announced
4417410,Rush B: Esports Manager,1107,Unpriced (Coming Soon),2026
3030560,Sloppy Forgeries,1108,Free,Q1 2027
3848900,Sucker for Love: Crush Landing,1109,Unpriced (Coming Soon),"Aug 31, 2026"
2620450,Highreach,1110,Unpriced (Coming Soon),Q3 2026
2175180,Primitive,1111,Unpriced (Coming Soon),To be announced
1503170,Liegecraft,1112,Free,Coming soon
4121600,Psychopomp 2,1113,Free,Coming soon
4327900,Space Hauler,1114,Free,2027
3722130,Indigo Park: Chapter 2,1115,Unpriced (Coming Soon),To be announced
3530630,Bless You Again,1116,Unpriced (Coming Soon),2026
2565010,Tenet of the Spark,1117,Unpriced (Coming Soon),To be announced
4047270,Orc Incremental,1118,Unpriced (Coming Soon),"Sep 8, 2026"
3946950,Click the Button,1119,Unpriced (Coming Soon),"Aug 26, 2026"
3054550,Sil and the Fading World,1120,Free,Coming soon
3107530,Danchi Days,1121,Unpriced (Coming Soon),"Oct 29, 2026"
2830070,SECOND-LOOP™,1122,Unpriced (Coming Soon),To be announced
3743260,Virtue and a Sledgehammer,1123,Unpriced (Coming Soon),2026
2495320,Monsterpatch,1124,Unpriced (Coming Soon),To be announced
2687200,100 London Cats,1125,Free,Coming soon
