appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
2017940,Pony Island 2: Panda Circus,Pony Island 2: Panda Circus,242,224,18,18,up,none,Unpriced (Coming Soon),Free,True,To be announced,"Apr 27, 2027",True
1637460,TankRat,TankRat,249,235,14,14,up,none,Unpriced (Coming Soon),Free,True,2026,"Jan 15, 2027",True
3230960,EXODUS,EXODUS,90,83,7,7,up,none,Free,Free,False,2027,"Apr 7, 2027",True
2141130,Road Kings,Road Kings,165,158,7,7,up,none,Unpriced (Coming Soon),Free,True,To be announced,"Mar 11, 2027",True
2885330,Fractured Mind,Fractured Mind,753,760,-7,7,down,none,Free,Unpriced (Coming Soon),True,2026,2026,False
1238190,Ant Colony: Wild Forest,Ant Colony: Wild Forest,832,838,-6,6,down,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,Q3 2026,Q4 2026,True
3393110,AION 2,AION 2,73,70,3,3,up,none,Free,Free,False,October 2026,"Oct 5, 2026",True
4781330,Vampire Survivors: Legacy of the Bloodmoon,Vampire Survivors: Legacy of the Bloodmoon,622,625,-3,3,down,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,2026,"Aug 28, 2026",True
3493540,Transport Fever 3,Transport Fever 3,94,92,2,2,up,none,Unpriced (Coming Soon),$49.99,True,2026,"Sep 29, 2026",True
4126040,Aniimo,Aniimo,44,43,1,1,up,none,Free,Free,False,Coming soon,"Sep 15, 2026",True
3569420,Chained Beasts,Chained Beasts,356,357,-1,1,down,none,Unpriced (Coming Soon),Unpriced (Coming Soon),False,October 2026,"Oct 15, 2026",True
