snapshot_id,captured_at_utc,rank,appid,title,release_text,price_text,game_url,page_number,position_on_page,source_url,discount_text,review_summary,image_url,platforms,tags_raw
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1751,3004280,World of Magic: Rise of Magic,"Oct 1, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/3004280/World_of_Magic_Rise_of_Magic/,71,1,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1752,3151140,Shelf Heroes,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/3151140/Shelf_Heroes/,71,2,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1753,1368180,Wildekin,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/1368180/Wildekin/,71,3,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1754,3275210,Pionero Capital,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3275210/Pionero_Capital/,71,4,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1755,347460,"Heart Forth, Alicia",To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/347460/Heart_Forth_Alicia/,71,5,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,"win,mac,linux",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1756,1537440,Bosslords,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/1537440/Bosslords/,71,6,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1757,3866080,Stick A Round,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/3866080/Stick_A_Round/,71,7,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1758,3826670,Flipping is Hard,September 2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3826670/Flipping_is_Hard/,71,8,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1759,968710,Hazelnut Bastille,Coming soon,Free,https://store.steampowered.com/app/968710/Hazelnut_Bastille/,71,9,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,"win,mac,linux",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1760,3347910,Rat Game,Q3 2026,Unpriced (Coming Soon),https://store.steampowered.com/app/3347910/Rat_Game/,71,10,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,"win,mac",
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1761,1826380,Mayhem Brawler II: Best of Both Worlds,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1826380/Mayhem_Brawler_II_Best_of_Both_Worlds/,71,11,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1762,2356810,Tales Of Shadowland,Coming soon,Free,https://store.steampowered.com/app/2356810/Tales_Of_Shadowland/,71,12,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1763,2986590,HYPNOSYNC,2026,Free,https://store.steampowered.com/app/2986590/HYPNOSYNC/,71,13,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
0781cda0-66d3-4311-9f88-aee60478b403,2026-05-26T17:04:15.728299+00:00,1764,4042160,Static Dread: The Submarine,Coming soon,Free,https://store.steampowered.com/app/4042160/Static_Dread_The_Submarine/,71,14,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=71,,,,win,
