appid,source_url,discount_text,review_summary,image_url,platforms,tags_raw
1422450,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2719590,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
1774880,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2769570,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2109770,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2050420,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
4165910,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,"win,mac,linux",
1846700,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
4199910,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2381520,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
4165890,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,"win,mac,linux",
1757350,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
1297900,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
4115450,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
3751260,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2272360,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
1805110,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2873440,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
3844970,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
2814860,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
3751950,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=1,,,,win,
