appid,query,query_group,query_priority,provider,tavily_search_depth,budget_query_number,url,title,snippet,date_classification,evidence_type
881940,"""Guns 'n Goblins"" Steam",general,1,tavily,basic,1,https://store.steampowered.com/app/881940/Guns_n_Goblins,Guns 'n Goblins on Steam,"Title: Guns 'n Goblins  
 Genre: Action, Indie, RPG  

Developer: Lance, Argl

Publisher: SoulGame

Release Date: 2027

View update history   Read related news   View discussions   Find Community Groups

Embed

Report this Product)

Ratings

Rating Pending

Age rating for: Coordenação de Classificação Indicativa

Links & info

This game is not yet available on Steam

# Planned Release Date: 2027

Interested?  
Add to your wishlist and get notified when it becomes available.

View Community Hub [...] All Games > Action Games > Guns 'n Goblins

Community Hub

Guns 'n Goblins

Guns 'n Goblins

Guns 'n Goblins

Developer

Lance, Argl

Publisher

SoulGame

Release

2027

Face a deluge of monsters in this incremental horde survivor FPS. Build your Bastion, level up your character, and upgrade your arsenal to rise from Apprentice Bell Ringer to Master Dragon Hunter.

All Reviews:

No user reviews

Release Date:

2027

Developer:

Lance, Argl

Publisher:

SoulGame

Tags [...] Call on and train a skeleton army to hold the fort
 Repair the base’s equipment and build your defenses
 Assemble some unlikely allies whose talents will prove vital

- - -

## System Requirements

Minimum:  

+ Requires a 64-bit processor and operating system
+ OS: Windows 10 - 64 bits
+ Processor: Quad-Core 64-bit Intel or AMD processor
+ Memory: 8 MB RAM
+ Graphics: NVIDIA 1050 or equivalent
+ Storage: 1 GB available space

Recommended:",unknown_date,web_result
881940,"""Guns 'n Goblins"" Steam",general,1,tavily,basic,1,https://store.steampowered.com/app/369450/Guns_and_Goblins,Guns and Goblins on Steam,"Guns and Goblins brings two new things to the world of Fortune's Tavern: Guns and Goblins!  
   
 Features:  
   
 \Build new rooms in a dank cave so that Goblins will visit your tavern,  
 \Build new Goblin specific tavern features,  
 \Speak to 14 new Goblin guests  
 \Work with the Goblin engineer to create a new weapon: the gun  
 \Enjoy a new way of killing your enemies - with long range violent death!  
 \Quest for parts to make your Gun even more powerful!

## System Requirements [...] Sign in to add this item to your wishlist, follow it, or mark it as ignored

)

Features

Single-player

Downloadable Content

Steam Achievements

Family Sharing

Profile Features Limited   

Languages:

English

| Interface | Full Audio | Subtitles |
 --- 
| English | ✔ | ✔ | ✔ |

Title: Guns and Goblins  
 Genre: Adventure, Casual, Indie, RPG, Simulation  

Developer: Michael Flynn, Elizabeth Flynn

Release Date: 7 May, 2015 [...] All Games > Simulation Games > Guns and Goblins

Community Hub

Guns and Goblins

Guns and Goblins

Guns and Goblins

Developer

Michael Flynn, Elizabeth Flynn

Released

7 May, 2015

All Reviews:

2 user reviews  - Need more user reviews to generate a score

Release Date:

7 May, 2015

Developer:

Michael Flynn, Elizabeth Flynn

Tags

Popular user-defined tags for this product:

RPG  Indie  Casual  Simulation  Adventure 

+

Reviews

All Reviews:

All Time: 2 user reviews ()",unknown_date,web_result
881940,"""Guns 'n Goblins"" Steam",general,1,tavily,basic,1,https://store.steampowered.com/app/4671750/Guns_n_Goblins_Demo,Guns 'n Goblins Demo on Steam,"All Games > Action Games > Guns 'n Goblins > Demo

Community Hub

Guns 'n Goblins Demo

Guns 'n Goblins Demo

Guns 'n Goblins Demo

Developer

Lance, Argl

Publisher

SoulGame

Released

24 Jul, 2026

Face a deluge of monsters in this incremental horde survivor FPS. Build your Bastion, level up your character, and upgrade your arsenal to rise from Apprentice Bell Ringer to Master Dragon Hunter.

All Reviews:

Positive  (49)   - 95% of the 49 user reviews for this demo are positive. [...] Release Date:

24 Jul, 2026

Developer:

Lance, Argl

Publisher:

SoulGame

Tags

Popular user-defined tags for this product:

FPS  Incremental  Relaxing  Survival  Retro  RPG  Indie  Idler  Spectacle fighter  Arena Shooter  Shooter  Pixel Graphics  Action  Building  Singleplayer  Medieval  Action RPG  Dark Fantasy  Dragons  Fantasy 

+

Reviews

All Reviews:

All Time: Positive (95% of 49)

Sign in to add this item to your wishlist, follow it, or mark it as ignored

)

Features

Single-player [...] Single-player

Game demo

Languages:

English

| Interface | Full Audio | Subtitles |
 --- 
| English | ✔ |  |  |

Title: Guns 'n Goblins Demo  
 Genre: Action, Indie, RPG  

Developer: Lance, Argl

Publisher: SoulGame

Release Date: 24 Jul, 2026

YouTube External   X External   Facebook External   View discussions   Find Community Groups

Embed

Report this Product)

Links & info

Free Demo

## Play Guns 'n Goblins Demo

Install Demo

## Check out the full game

View Community Hub",unknown_date,web_result
881940,"""Guns 'n Goblins"" Steam",general,1,tavily,basic,1,https://www.youtube.com/watch?v=M0DgaW7eF0g,Guns 'n Goblins - Official Announcement Trailer,"# Guns 'n Goblins - Official Announcement Trailer
## Indie Games Hub
157000 subscribers
388 likes

### Description
10719 views
Posted: 23 Apr 2026
Face a deluge of monsters in this incremental horde survivor FPS. Build your Bastion, level up your character, and upgrade your arsenal to rise from Apprentice Bell Ringer to Master Dragon Hunter. 

Wishlist on Steam: 

Developer: Lance, Argl

17 comments
### Transcript:",unknown_date,web_result
881940,"""Guns 'n Goblins"" Steam",general,1,tavily,basic,1,https://www.youtube.com/watch?v=O47eBvpYFOc,Guns 'n Goblins - Official Reveal Trailer,"# Guns 'n Goblins - Official Reveal Trailer
## IGN
19900000 subscribers
5361 likes

### Description
217944 views
Posted: 23 Apr 2026
Take a look at the Reveal Trailer for Guns 'n Goblins, a horde-based survival first-person shooter developed by Soulgame and Lance. Players will take on waves of enemies to defend the coveted castle from being destroyed. Level up, attain upgrades, and take down dragons in Guns 'n Goblins, coming soon to PC (Steam).

#GunsNGoblins #Gaming #IGN",unknown_date,web_result
881940,"""Guns 'n Goblins"" gameplay",general,1,tavily,basic,3,https://store.steampowered.com/app/881940/Guns_n_Goblins,Guns 'n Goblins on Steam,"Get the Steam Mobile App. All trademarks are property of their respective owners in the US and other countries. Link to the Steam Homepage. Face a deluge of monsters in this incremental horde survivor FPS. Build your Bastion, level up your character, and upgrade your arsenal to rise from Apprentice Bell Ringer to Master Dragon Hunter. Sign in to add this item to your wishlist, follow it, or mark it as ignored. Steam is learning about this game. This game is not yet available on Steam. * **Control the horde:** Ring the bell as often as you dare to call a deluge of monsters. You can write your own review for this product to share your experience with the community. You can use this widget-maker to generate a bit of HTML that can be embedded in your website to easily allow customers to purchase this game on Steam. ## Sign In. Sign in to add your own tags to this product.",unknown_date,web_result
881940,"""Guns 'n Goblins"" demo",general,1,tavily,basic,4,https://www.classicfirearms.com,America's Premier Online Gun Store - Classic Firearms,"$150 Off Alpha Foxtrot Romulus Comp Bundle W/ 5 Mags!!! Classic Firearms Logo Classic Firearms Logo. You have no items in your shopping cart. ## Firearms. Shop Popular Semi-Auto Handguns. ## AR-15. Shop Popular AR-15 Rifles. Shop Popular Concealed Carry Pistols. ## Stock Up On Uppers, Lowers, Barrels, Spare Parts, & Everything You Need For Your Next Build. new and used firearms in stock. ### JRA Gallant Rifle, 5.56 NATO, Semi-Auto, 18"" Barrel W/ Compensator, Battle Worn Model, Original Wood Handguards, 30 Rd Mag, S.F. Stock, No Bayonet Lug. 3. ### Alpha Foxtrot AF1911 Romulus Promo AA39X1CIG-XDBK20-PROM 9mm Pistol 4.25"" 20+1 Semi-Auto Optics-Ready Compensated. ## IN STOCK AMMO. ### Smith & Wesson M&P 9 m2.0, Semi Automatic Pistol, 9mm, 4.25"" Barrel, 3-Dot Sights, (1) 17rd Magazine, Used Good to Very Good Condition, LEO Trade-In. 5. 6. Ruger Max-9, Semi Automatic Pistol, 9mm, 3.2. Classic Firearms is your destination for all the best rebates from your favorite gun brands. Classic Firearms strives daily to bring you the finest firearms, industry coverage, and updates available.",unknown_date,web_result
881940,"""Guns 'n Goblins"" demo",general,1,tavily,basic,4,https://www.guns.com,The Most Trusted Place To Buy Guns,"Press Alt+1 for screen-reader mode, Alt+0 to cancelAccessibility Screen-Reader Guide, Feedback, and Issue Reporting | New window. Image 1: Guns.com Logo0. *   Sign InLogin to Your Account. # Guns for sale. ## Buy 9 Boxes, Get The 10th Free. ## Fuel Your Freedom. ## Buy a Gun, Get a Free Suppressor. **YOUR NEW GO-TO OVER/UNDER**. **300,000+ NEW AND USED FIREARMS IN STOCK**. **THE BEST ONLINE SHOPPING EXPERIENCE TO FUEL YOUR FREEDOM**. SHOWCASE SAVAGE ARMS model 110 Image 16: Featured Product SAVAGE ARMS model 110 USED $1,799.99. The Mossberg 590 Shockwave packs 5+1 rounds of 12-gauge firepower in a compact package, and this model with Crimson Trace laser is a capable choice for home defense. The Ruger 10/22 Takedown Backpacker is a compact version of the iconic rimfire, with a lightweight Magpul stock and easy takedown mechanism that make it handy for any type of survival scenario. ### Fast shipping and easy to. Fast shipping and easy to buy guns.",unknown_date,web_result
881940,"""Guns 'n Goblins"" demo",general,1,tavily,basic,4,https://www.guns.com/firearms,Buy Guns Online - Browse By Category,"Press Alt+1 for screen-reader mode, Alt+0 to cancelAccessibility Screen-Reader Guide, Feedback, and Issue Reporting | New window. Image 1: Guns.com Logo0. *   AmmoBulk Ammo9mm6.5 Creedmoor.223 Rem5.56x45mm NATO.308 Win10mmShop All Ammo. # Buy Guns Online. Shop the largest selection of handguns, shotguns, and rifles. We have the most popular guns in stock including new releases, as well as hard-to-find collector’s pieces. At Guns.com, our goal is simple: To help make your gun buying and ownership experience the best it can be. Image 4: M&P 9 and M&P 9 EZ. Find the best collection of new and **used handguns** online at Guns.com. Guns.com makes it easy to shop online for rifles. Find a large selection of new and **used rifles** for sale. Image 6: Crockart & Sons gun shop in Scotland. Guns.com offers a large selection of shotguns for sale. With both new and **used shotguns**, we have price points suitable for nearly any budget. Image 7: Springfield Armory Echelon 4.0FC.",unknown_date,web_result
881940,"""Guns 'n Goblins"" demo",general,1,tavily,basic,4,https://www.galleryofguns.com,Gallery of Guns,"We sell top brand guns with the best price at Gallery of Guns. MSRP: $729.00 Just 25% down today, the rest at pickup! 45/410 Bond Arms",unknown_date,web_result
