appid,query,video_id,url,title,contents_preview,published_at,date_classification,evidence_type
4732690,"""Arknights: Endfield"" trailer",oJ00ggFb8A0,https://www.youtube.com/watch?v=oJ00ggFb8A0,Arknights: Endfield Official Release Trailer: Back to Endfield,Start here and watch your choices unfold. Special thanks to @starsetonline for the brand-new theme song—We Are Empire.,2026-01-16T11:40:00+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" trailer",tN80M6IEMo0,https://www.youtube.com/watch?v=tN80M6IEMo0,Arknights: Endfield New Horizons Trailer [The Mission],"""You may have forgotten these faces, but they will always remember yours."" Defy destiny, reboot Life, and reshape the future of ...",2026-01-16T13:02:00+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" trailer",EfwGJH-etgk,https://www.youtube.com/watch?v=EfwGJH-etgk,Arknights: Endfield Beta Test Trailer,"The storm rages, tearing our homeland apart. Yet hope stands strong, as Endfield Industries has long been prepared.",2024-12-14T03:00:08+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" trailer",6CGS_C6XqG8,https://www.youtube.com/watch?v=6CGS_C6XqG8,Arknights: Endfield - Gameplay Trailer | gamescom 2025,"Watch the Gameplay Trailer for Arknights: Endfield, a free-to-play action RPG developed by Hypergryph. Embark on a grand ...",2025-08-19T18:47:37+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" trailer",5Xm45NwWOlo,https://www.youtube.com/watch?v=5Xm45NwWOlo,Worldwide Release on January 22nd | Arknights: Endfield Official Release PV,"From these lands beneath to the planets above, the path we tread together remains unbroken. Once more, we venture forth as ...",2025-12-12T03:45:01+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" gameplay",NCIOjui7nbE,https://www.youtube.com/watch?v=NCIOjui7nbE,Arknights Endfield Gameplay Preview - SHOULD You PLAY It? Is It Worth it?,"Arknights Endfield Gameplay Preview - SHOULD You PLAY It? Is It Worth it? In this Fextralife video, we'll be taking a look at ...",2026-01-22T15:00:44+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" gameplay",sbgBjj2bBRs,https://www.youtube.com/watch?v=sbgBjj2bBRs,Arknights Endfield 6 Months Later... How I Actually Feel,My updated thoughts & review on Arknights Endfield after playing it for 6 months :D Sciel's channel: ...,2026-07-21T21:37:35+00:00,inside_extended_window,youtube_video
4732690,"""Arknights: Endfield"" gameplay",ORNaegEfhL4,https://www.youtube.com/watch?v=ORNaegEfhL4,Arknights Endfield - Full Game Gameplay Walkthrough,Arknights Endfield Gameplay Walkthrough Longplay of the Full Game Story from Version 1.0 on PS5 Pro with No Commentary I ...,2026-01-26T13:41:13+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" gameplay",qoKvYquuSO0,https://www.youtube.com/watch?v=qoKvYquuSO0,PERLICA (Arknights Endfield) Gameplay Wins Zero Build (NEW FORTNITE CHAPTER 7 SEASON 3),PERLICA (Arknights Endfield) Fortnite Gameplay CHUN LI Fortnite Gameplay: https://youtu.be/L19yOg4CQWg #fortnitememes ...,2026-08-15T16:00:01+00:00,inside_spike_window,youtube_video
4732690,"""Arknights: Endfield"" gameplay",VRv9-QdsKWg,https://www.youtube.com/watch?v=VRv9-QdsKWg,Liino seduces Endmin 😭 | Arknights Endfield,"liino mains be like Subscribe and Rice Chan will be a happy vtuber~ Arknights Endfield 1.4 is here, bringing new characters, new ...",2026-08-15T16:00:11+00:00,inside_spike_window,youtube_video
4732690,"""Arknights: Endfield"" demo",NCIOjui7nbE,https://www.youtube.com/watch?v=NCIOjui7nbE,Arknights Endfield Gameplay Preview - SHOULD You PLAY It? Is It Worth it?,"Arknights Endfield Gameplay Preview - SHOULD You PLAY It? Is It Worth it? In this Fextralife video, we'll be taking a look at ...",2026-01-22T15:00:44+00:00,outside_window,youtube_video
4732690,"""Arknights: Endfield"" demo",kTHEqpvUnzA,https://www.youtube.com/watch?v=kTHEqpvUnzA,Arknights: Endfield Operator Combat Demo: Liino,"Wherever we go, I want to be the star that catches everyone's eye!",2026-08-07T03:00:26+00:00,inside_extended_window,youtube_video
4732690,"""Arknights: Endfield"" demo",sbgBjj2bBRs,https://www.youtube.com/watch?v=sbgBjj2bBRs,Arknights Endfield 6 Months Later... How I Actually Feel,My updated thoughts & review on Arknights Endfield after playing it for 6 months :D Sciel's channel: ...,2026-07-21T21:37:35+00:00,inside_extended_window,youtube_video
4732690,"""Arknights: Endfield"" demo",ml5uIYYiNo4,https://www.youtube.com/watch?v=ml5uIYYiNo4,Arknights: Endfield Operator Combat Demo: Arcane,Target confirmed. Secure the AO. ▽//Download game from official website https://akendfield.gryphline.com/d27t/tejmevxp ...,2026-07-14T03:00:28+00:00,inside_extended_window,youtube_video
4732690,"""Arknights: Endfield"" demo",vosYHVsDKeA,https://www.youtube.com/watch?v=vosYHVsDKeA,Endfield evolution is INSANE!!!,FREE! NO ADS! LOW RAM USAGE! 240FPS ULTRA-SMOOTH EXPERIENCE!】Use My Link to Download MuMuPlayer ...,2026-01-29T04:18:13+00:00,outside_window,youtube_video
