created_at_utc,timestamp,appid,game_title,provider,model,status,folder_path,input_file,output_path,error,duration_sec,response_length
2026-05-27T09:11:35.833367+00:00,20260527_091135,4508570,Veritas Tales: Witch of the Dark Castle,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-27__appid_4508570__rank_2761_to_2710__up_51,data/spike_explainer/2026-05-27__appid_4508570__rank_2761_to_2710__up_51/llm_summary_input.md,data/spike_explainer/2026-05-27__appid_4508570__rank_2761_to_2710__up_51/llm_outputs/gemini_20260527_091135.md,,25.68,5831
2026-05-27T09:49:26.007103+00:00,20260527_094926,4508570,Veritas Tales: Witch of the Dark Castle,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-27__appid_4508570__rank_2710_to_2663__up_47,data/spike_explainer/2026-05-27__appid_4508570__rank_2710_to_2663__up_47/llm_summary_input.md,data/spike_explainer/2026-05-27__appid_4508570__rank_2710_to_2663__up_47/llm_outputs/gemini_20260527_094926.md,,24.15,6412
2026-05-27T16:22:45.246821+00:00,20260527_162245,4093640,Psych Rift,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-27__appid_4093640__rank_2970_to_2558__up_412,data/spike_explainer/2026-05-27__appid_4093640__rank_2970_to_2558__up_412/llm_summary_input.md,data/spike_explainer/2026-05-27__appid_4093640__rank_2970_to_2558__up_412/llm_outputs/gemini_20260527_162245.md,,26.9,5435
2026-05-28T04:32:32.359572+00:00,20260528_043232,4093640,Psych Rift,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-28__appid_4093640__rank_2558_to_2068__up_490,data/spike_explainer/2026-05-28__appid_4093640__rank_2558_to_2068__up_490/llm_summary_input.md,data/spike_explainer/2026-05-28__appid_4093640__rank_2558_to_2068__up_490/llm_outputs/gemini_20260528_043232.md,,21.32,5199
2026-05-28T16:36:40.207397+00:00,20260528_163640,4508570,Veritas Tales: Witch of the Dark Castle,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-28__appid_4508570__rank_2021_to_1829__up_192,data/spike_explainer/2026-05-28__appid_4508570__rank_2021_to_1829__up_192/llm_summary_input.md,data/spike_explainer/2026-05-28__appid_4508570__rank_2021_to_1829__up_192/llm_outputs/gemini_20260528_163640.md,,21.92,6389
2026-05-29T04:35:31.030817+00:00,20260529_043531,3219030,Planet Zoo 2,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-29__appid_3219030__rank_1858_to_769__up_1089,data/spike_explainer/2026-05-29__appid_3219030__rank_1858_to_769__up_1089/llm_summary_input.md,data/spike_explainer/2026-05-29__appid_3219030__rank_1858_to_769__up_1089/llm_outputs/gemini_20260529_043531.md,,16.3,5673
2026-05-29T16:17:13.703710+00:00,20260529_161713,3847920,Wild n Chill,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-29__appid_3847920__rank_2038_to_1373__up_665,data/spike_explainer/2026-05-29__appid_3847920__rank_2038_to_1373__up_665/llm_summary_input.md,data/spike_explainer/2026-05-29__appid_3847920__rank_2038_to_1373__up_665/llm_outputs/gemini_20260529_161713.md,,17.27,5099
2026-05-30T04:22:27.830607+00:00,20260530_042227,3595450,Object Impermanence,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-30__appid_3595450__rank_1370_to_1100__up_270,data/spike_explainer/2026-05-30__appid_3595450__rank_1370_to_1100__up_270/llm_summary_input.md,data/spike_explainer/2026-05-30__appid_3595450__rank_1370_to_1100__up_270/llm_outputs/gemini_20260530_042227.md,,13.93,4932
2026-05-30T14:17:03.269052+00:00,20260530_141703,4731620,Fortune Mill,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-30__appid_4731620__rank_2689_to_2365__up_324,data/spike_explainer/2026-05-30__appid_4731620__rank_2689_to_2365__up_324/llm_summary_input.md,data/spike_explainer/2026-05-30__appid_4731620__rank_2689_to_2365__up_324/llm_outputs/gemini_20260530_141703.md,,23.18,5834
2026-05-31T04:46:06.713753+00:00,20260531_044606,4450620,GRAIN ROT,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-05-31__appid_4450620__rank_2963_to_2316__up_647,data/spike_explainer/2026-05-31__appid_4450620__rank_2963_to_2316__up_647/llm_summary_input.md,data/spike_explainer/2026-05-31__appid_4450620__rank_2963_to_2316__up_647/llm_outputs/gemini_20260531_044606.md,,18.06,5439
